"","variable","ELRP"
"1","1983",4.2910584132307
"2","1988",5.26546801533374
"3","1993",6.27667827945364
"4","1998",7.116205673177
"5","2003",8.98511590044791
"6","2008",9.37984938902518
"7","2013",10.6415281841864
"8","2018",12.959342438903
"9","2023",14.2778487009566
"10","2028",15.6873527706434
"11","2033",17.1997828654143
"12","2038",18.1024212242509
"13","2043",18.5403458696422
"14","2048",18.9702001889927
"15","2053",19.3865297398582
"16","2058",19.7944634781335
"17","2063",20.1939133894803
"18","2068",20.6038230270592
"19","2073",20.999095547834
"20","2078",21.392003331464
"21","2083",21.7989599938694
"22","2088",22.190968686906
"23","2093",22.5861598426165
"24","2098",22.9855135704608
